date,close,volume,open,high,low
15-11-18,1071.05,2075606,1051.46,1078.87,1041.2925
14-11-18,1054.58,1730473,1060,1065.79,1041.11
13-11-18,1047.97,1285845,1054.81,1066.665,1040.4
12-11-18,1049.36,1690483,1073.13,1074.1,1040.35
09-11-18,1077.02,1742807,1084.02,1088.35,1064.26
08-11-18,1094.63,1684536,1107.3,1108.22,1084.36
07-11-18,1108.24,2167553,1083.49,1109.9299,1080.59
06-11-18,1069.57,1396959,1055.02,1079.82,1053.61
05-11-18,1055.73,2266980,1072.53,1073.35,1034
02-11-18,1071.49,2166719,1089,1098,1067.66
01-11-18,1085.98,1997706,1091.4,1099.9,1077.82
31-10-18,1090.58,3543656,1068.2,1108,1068.2
30-10-18,1049.51,2976821,1020.01,1050.9,1013.97
29-10-18,1034.73,4058794,1096.54,1108.83,1007.2
26-10-18,1083.75,5319801,1048.33,1117,1042.23
25-10-18,1103.59,3609546,1080.3,1117.82,1075.545
24-10-18,1057.12,2445306,1115,1116.62,1055.06
23-10-18,1114.91,1883300,1091.29,1118,1079.01
22-10-18,1111.37,1354126,1112.51,1121.69,1100
19-10-18,1105.18,2062281,1103.71,1120.95,1097.03
18-10-18,1097.91,2304930,1130,1132.35,1086.34
17-10-18,1127.59,1780906,1140,1147,1114
16-10-18,1133.08,1916401,1113.48,1136.37,1111.75
15-10-18,1102.44,1496836,1118,1121.795,1098.22
12-10-18,1120.54,2465227,1119.64,1125.8299,1095.025
11-10-18,1090.74,3380129,1079.04,1116.055,1075.89
10-10-18,1092.16,2922345,1136.4,1137.02,1091.51
09-10-18,1145.17,1684297,1151.31,1161.55,1144.17
08-10-18,1155.92,2302699,1160,1175.86,1135.4
05-10-18,1167.83,1592399,1176,1182,1154.32
04-10-18,1177.07,2327056,1205.03,1205.9,1163.845
03-10-18,1211.53,1311457,1212,1214.18,1202.15
02-10-18,1207.64,1993308,1206.67,1224.52,1199.66
01-10-18,1208.53,1639347,1213,1224.2,1203.19
28-09-18,1207.08,1755681,1204.09,1208.45,1197.83
27-09-18,1207.36,1812840,1200,1216.86,1198.05
26-09-18,1194.06,1874062,1193.69,1207.24,1185.3969
25-09-18,1193.89,1657441,1184.25,1196.8599,1174.09
24-09-18,1179.56,1555399,1159.41,1185.19,1151.5
21-09-18,1172.12,4447045,1194.92,1196.58,1172.06
20-09-18,1191.57,1459397,1180.67,1194,1176.25
19-09-18,1174.27,1296664,1168.96,1176.27,1158.6152
18-09-18,1167.11,1582917,1162.66,1181.33,1161.425
17-09-18,1159.83,1702702,1177.77,1181.82,1158.455
14-09-18,1177.98,1199146,1188,1188,1173.52
13-09-18,1182.14,1997315,1179.7,1187.86,1169.22
12-09-18,1171.6,1766951,1182,1190.694,1166.16
11-09-18,1189.99,1461447,1171.1,1190.94,1165.95
10-09-18,1175.06,1350356,1184.2,1186.66,1170.61
07-09-18,1177.59,1632359,1172,1188.545,1169.27
06-09-18,1183.99,2327317,1198.57,1198.9865,1163.61
05-09-18,1199.1,2694064,1209.22,1214.87,1175.34
04-09-18,1211.31,2035568,1222.52,1227.87,1206.56
31-08-18,1231.8,2113276,1252.21,1252.545,1225.7547
30-08-18,1254.44,1502651,1263.4,1269.49,1247.21
29-08-18,1264.65,1843277,1255,1267.17,1252.8
28-08-18,1245.86,1364387,1255.9,1256.56,1242.97
27-08-18,1256.27,1427768,1244.14,1257.87,1240.68
24-08-18,1236.75,1221489,1226,1237.4,1221.42
23-08-18,1221.16,1228148,1219.88,1235.17,1219.3488
22-08-18,1221.75,1112962,1214.22,1226.53,1213.22
21-08-18,1217.41,1125388,1223.02,1232.76,1215.03
20-08-18,1221.95,1104468,1220.66,1225.91,1208.7
17-08-18,1215.85,1651969,1222.04,1226.9547,1204
16-08-18,1224.06,1606960,1241.99,1243.6974,1219.63
15-08-18,1232.22,1850944,1244.28,1251.98,1226.245
